Perceptron Bipolarny;
Srednia:;=ŒREDNIA(B22:B37);=ŒREDNIA(C22:C37);=ŒREDNIA(D22:D37);=ŒREDNIA(E22:E37);=ŒREDNIA(F22:F37);=ŒREDNIA(G22:G37);=ŒREDNIA(H22:H37);=ŒREDNIA(I22:I37);=ŒREDNIA(J22:J37);=ŒREDNIA(K22:K37);=ŒREDNIA(L22:L37);=ŒREDNIA(M22:M37);=ŒREDNIA(N22:N37);
Perceptron Unipolarny;
ucz/max;1;0.9;0.8;0.7;0.6;0.5;0.4;0.3;0.2;0.1;0.05;0.01;Œrednia:;
0.9;5;5.21;4.62;4.95;4.88;5.04;5.02;5.32;5.08;5.28;5.04;5.24;=ŒREDNIA(B41:M41);
0.8;5.25;5.04;4.84;5.38;5.52;4.5;4.95;4.99;5.48;5.03;4.97;5.26;=ŒREDNIA(B42:M42);
0.7;5.71;5.26;4.89;5.33;5.24;4.85;4.76;4.93;5.05;4.9;4.78;5.14;=ŒREDNIA(B43:M43);
0.6;4.88;5.28;5.08;5.54;5.49;4.99;5.33;5.08;4.8;4.71;4.96;4.8;=ŒREDNIA(B44:M44);
0.5;5.43;5.03;5.45;4.98;4.97;4.91;5.2;5.11;5.32;4.99;5.31;4.89;=ŒREDNIA(B45:M45);
0.4;5.05;5.48;5.82;5.01;5.33;5.16;4.77;4.76;4.94;4.95;5.32;5;=ŒREDNIA(B46:M46);
0.3;6.06;5.51;5.97;5.39;5.24;4.98;5.12;4.97;5.3;5.17;4.88;5.05;=ŒREDNIA(B47:M47);
0.25;5.83;5.57;5.16;5.59;5;4.94;5.37;5.03;5.09;5.18;5.2;5.71;=ŒREDNIA(B48:M48);
0.2;6.77;6.41;6.06;5.48;5.29;4.91;4.92;5.47;4.95;4.88;5.34;5.26;=ŒREDNIA(B49:M49);
0.15;7.13;7.19;6.53;5.82;5.69;5.46;5.87;5.72;5.23;5.31;5.55;5.08;=ŒREDNIA(B50:M50);
0.1;9.14;7.78;8.12;7.08;6.66;6.58;5.76;5.17;5.29;5.1;4.73;5.08;=ŒREDNIA(B51:M51);
0.05;15.85;13.22;12.69;11.24;10.51;10.1;7.98;6.14;6.13;5.18;5.19;5.11;=ŒREDNIA(B52:M52);
0.04;19.9;16.3;13.71;14.95;11.51;10.15;8.87;7.69;6.44;5.6;4.96;4.86;=ŒREDNIA(B53:M53);
0.03;24.26;22.28;20.71;16.53;14.23;12.24;10.47;8.68;7.03;5.5;5.22;4.94;=ŒREDNIA(B54:M54);
0.02;31.32;27.54;29.52;20.79;19.91;19.43;15.24;11.41;9.86;6.37;5.72;4.91;=ŒREDNIA(B55:M55);
0.01;66.96;56.37;52.15;44.34;39.01;35.42;28.13;20.98;14.06;9.48;6.46;5.31;=ŒREDNIA(B56:M56);
Srednia:;=ŒREDNIA(B41:B56);=ŒREDNIA(C41:C56);=ŒREDNIA(D41:D56);=ŒREDNIA(E41:E56);=ŒREDNIA(F41:F56);=ŒREDNIA(G41:G56);=ŒREDNIA(H41:H56);=ŒREDNIA(I41:I56);=ŒREDNIA(J41:J56);=ŒREDNIA(K41:K56);=ŒREDNIA(L41:L56);=ŒREDNIA(M41:M56);=ŒREDNIA(N41:N56);
Perceptron Unipolarny wariancja;
ucz/max;1;0.9;0.8;0.7;0.6;0.5;0.4;0.3;0.2;0.1;0.05;0.01;Œrednia:;
0.9;4.4;6.5659;6.1956;5.0075;6.2456;4.6784;5.0596;4.5976;4.3336;5.4816;3.3384;5.4224;=ŒREDNIA(B60:M60);
0.8;5.7675;5.7384;6.3544;6.4356;5.8296;4.41;5.8075;4.0099;4.8096;4.0491;4.0691;4.5524;=ŒREDNIA(B61:M61);
0.7;5.6059;4.3924;5.1379;5.7011;4.8824;5.2475;4.7824;5.3451;5.2275;4.87;4.7316;5.3404;=ŒREDNIA(B62:M62);
0.6;5.8056;4.3416;5.8336;6.1484;4.6499;5.5499;6.0611;6.4936;4.66;4.1459;4.4384;5.32;=ŒREDNIA(B63:M63);
0.5;6.0251;5.4491;4.9875;5.4396;4.8691;6.1019;7.66;5.4779;5.5376;4.8499;3.9939;4.6779;=ŒREDNIA(B64:M64);
0.4;6.1675;7.7896;7.0676;6.4099;6.3411;6.4944;5.5171;5.1224;5.1364;4.5675;6.7976;5.96;=ŒREDNIA(B65:M65);
0.3;6.5764;6.3699;8.9891;5.5179;8.3624;6.9996;4.9656;6.4091;6.41;4.7411;4.5056;4.2675;=ŒREDNIA(B66:M66);
0.25;7.0411;7.6051;7.6544;6.8819;7.24;6.9164;6.2731;5.9491;5.6419;4.4076;5.22;4.9659;=ŒREDNIA(B67:M67);
0.2;13.0771;7.5619;7.7164;5.4896;7.8459;7.6019;6.5936;6.0091;5.9675;4.5056;4.0844;5.2124;=ŒREDNIA(B68:M68);
0.15;12.8531;9.5539;10.7091;8.0876;8.7939;5.8284;8.2931;7.1616;5.6771;5.6339;5.2675;5.4736;=ŒREDNIA(B69:M69);
0.1;21.8404;17.4716;14.8256;15.4736;10.9044;9.3836;9.5224;8.3611;6.7459;5.67;4.4371;4.4936;=ŒREDNIA(B70:M70);
